2016-02-19 17:22:45.7292 | VeraHuesBridge.SSDPService | INFO | Received a UDP multicast from IP [239.255.255.250], on port [1900]. |  
2016-02-19 17:22:45.7292 | VeraHuesBridge.Utilities | INFO | Testing if message is SSDP Discovery Packet... |  
2016-02-19 17:22:45.7292 | VeraHuesBridge.Utilities | INFO | SSDP Discovery Packet not detected. |  
2016-02-19 17:22:45.7292 | VeraHuesBridge.SSDPService | INFO | Restarted Multicast Receiver. |  
2016-02-19 17:22:46.2819 | VeraHuesBridge.SSDPService | INFO | Received a UDP multicast from IP [239.255.255.250], on port [1900]. |  
2016-02-19 17:22:46.2819 | VeraHuesBridge.Utilities | INFO | Testing if message is SSDP Discovery Packet... |  
2016-02-19 17:22:46.2819 | VeraHuesBridge.Utilities | INFO | SSDP Discovery Packet detected. |  
2016-02-19 17:22:46.2819 | VeraHuesBridge.SSDPService | INFO | Sending SSDP setup information... |  
2016-02-19 17:22:46.3404 | VeraHuesBridge.SSDPService | INFO | Restarted Multicast Receiver. |  
2016-02-19 17:22:46.3883 | VeraHuesBridge.SSDPService | INFO | Received a UDP multicast from IP [239.255.255.250], on port [1900]. |  
2016-02-19 17:22:46.3883 | VeraHuesBridge.Utilities | INFO | Testing if message is SSDP Discovery Packet... |  
2016-02-19 17:22:46.3883 | VeraHuesBridge.Utilities | INFO | SSDP Discovery Packet detected. |  
2016-02-19 17:22:46.3883 | VeraHuesBridge.SSDPService | INFO | Sending SSDP setup information... |  
2016-02-19 17:22:46.3902 | VeraHuesBridge.SSDPService | INFO | Restarted Multicast Receiver. |  
2016-02-19 17:22:46.4947 | VeraHuesBridge.SSDPService | INFO | Received a UDP multicast from IP [239.255.255.250], on port [1900]. |  
2016-02-19 17:22:46.4947 | VeraHuesBridge.Utilities | INFO | Testing if message is SSDP Discovery Packet... |  
2016-02-19 17:22:46.4947 | VeraHuesBridge.Utilities | INFO | SSDP Discovery Packet detected. |  
2016-02-19 17:22:46.4947 | VeraHuesBridge.SSDPService | INFO | Sending SSDP setup information... |  
